text,answer,link
"Что делать, если страховая организация признала договор (полис) страхования украденным (поддельным)?
","В случае если страховщик признал договор (полис) страхования поддельным (или украденным), рекомендуем обратиться с заявлением в правоохранительные органы.При этом заявление должно содержать:",https://www.cbr.ru/insurance/faq_insurance/
"Дорожно-транспортное происшествие произошло по моей вине. Обязана ли страховая организация выплачивать страховое возмещение в рамках договора добровольного страхования транспортных средств (договор каско)?
","Страховая организация должна осуществить выплату страхового возмещения, если такой риск был застрахован по договору страхования, при условии выполнения страхователем обязанностей, предусмотренных договором и правилами страхования, на условиях которых был заключен договор. В случае если Вами исполнены обязанности, предусмотренные договором и правилами страхования, но страховая организация отказывает в выплате возмещения, Вы можете направить обращение в Банк России. В обращении необходимо указать все имеющиеся по поставленному вопросу сведения (реквизиты договора страхования, сведения о страховом событии и др.). Также рекомендуем приложить копии документов, которые, по Вашему мнению, имеют значение для рассмотрения поставленных Вами вопросов. Кроме того, Вы имеете право обратиться с соответствующим заявлением в суд. Обращаем Ваше внимание на изменение процедуры досудебного урегулирования споров между потребителями страховых услуг и страховыми организациями в связи с началом работы уполномоченного по правам потребителей финансовых услуг (финансовый уполномоченный) (Федеральный закон от 04.06.2018 № 123 ФЗ «Об уполномоченном по правам потребителей финансовых услуг»). С 01.06.2019 до подачи иска в суд споры, касающиеся ОСАГО, добровольного страхования гражданской ответственности владельцев транспортных средств (ДСАГО), добровольного страхования транспортных средств (каско), должны рассматриваться финансовым уполномоченным. Для страховых организаций, осуществляющих остальные виды страхования (кроме осуществляющих ОМС), указанная обязанность предусмотрена с 28.11.2019. Для этого законодательно предусмотрен следующий порядок действий. Вам необходимо в обязательном порядке направить заявление страховщику в письменной или электронной форме, а страховщик обязан рассмотреть и направить мотивированный ответ об удовлетворении, частичном удовлетворении или отказе в удовлетворении предъявленного требования. Срок направления страховой организации мотивированного ответа составляет:",https://www.cbr.ru/insurance/faq_insurance/
"Страховая организация в связи с повреждением застрахованного транспортного средства выдает направление на ремонт на станцию технического обслуживания автомобилей. Можно ли получить страховое возмещение в денежном выражении?
","Способ выплаты страхового возмещения определяется условиями договора и правилами страхования, на основании которых заключен договор. Если условия договора предусматривают возможность выбрать в качестве страхового возмещения денежную выплату на основании экспертного заключения (калькуляции), но страховщик отказывает в данном выборе, следует направить ему досудебную претензию с обоснованием требований (и необходимыми документами), если их размер не превышает 500 000 руб. и если со дня, когда вы узнали (или должны были узнать) о нарушении своих прав, прошло не более трех лет. В случае если заявленные вопросы не будут решены, или страховщик не направит ответ в установленные сроки (не позднее 30 дней со дня получения заявления либо 15 рабочих дней со дня получения заявления, если оно направлено в электронном виде по утвержденной Советом службы финансового уполномоченного форме и со дня нарушения прав прошло не более 180 дней), вы вправе направить обращение финансовому уполномоченному через форму на его сайте или в письменном виде по адресу: 119017, г. Москва, Старомонетный переулок, д. 3 (телефон для справок 8 (800) 200-00-10).В иных случаях необходимо сразу обращаться в суд.",https://www.cbr.ru/insurance/faq_insurance/
"Страховая организация направила застрахованное транспортное средство на станцию технического обслуживания автомобилей (СТОА) по своему выбору. Что делать, если страхователя не устраивает данная ремонтная организация?
","Станция технического обслуживания (СТО), на которой будет ремонтироваться транспортное средство, определяется по условиям договора страхования (и/или правилам страхования), заключенного между вами и страховой организацией. В случае если договор и/или правила страхования предусматривают выбор СТО на усмотрение страхователя, но страховщик отказывает в этом выборе, вы вправе обратиться с жалобой в Банк России через интернет-приемную либо в письменном виде по адресу: 107016, г. Москва, ул. Неглинная, д. 12, приложив необходимые документы.",https://www.cbr.ru/insurance/faq_insurance/
"Страхователь самостоятельно организовал ремонт поврежденного транспортного средства, застрахованного по договору добровольного страхования, и в страховую организацию предъявлены счета, подтверждающие понесенные расходы. Однако страховая организация отказывает в выплате страхового возмещения на основании предъявленных счетов. Правомерно ли это, и как страхователю поступить в этой ситуации?
","Порядок урегулирования события с признаками страхового случая регламентирован условиями заключенного договора и правил страхования. При этом если договором / правилами страхования не предусмотрена выплата страхового возмещения по представленным счетам за ремонт поврежденного транспортного средства, страховая организация вправе отказать в такой выплате.Если вы полагаете, что страховщик неправомерно отказывает в выплате страхового возмещения, вы можете направить ему досудебную претензию с обоснованием требований (и необходимыми документами), если их размер не превышает 500 000 руб. и если со дня, когда вы узнали (или должны были узнать) о нарушении своих прав, прошло не более трех лет. В случае если заявленные вопросы не будут решены, или страховщик не направит ответ в установленные сроки (не позднее 30 дней со дня получения заявления либо 15 рабочих дней со дня получения заявления, если оно направлено в электронном виде по утвержденной Советом службы финансового уполномоченного форме и со дня нарушения прав прошло не более 180 дней), вы вправе направить обращение финансовому уполномоченному через форму на его сайте или в письменном виде по адресу: 119017, г. Москва, Старомонетный переулок, д. 3 (телефон для справок 8 (800) 200-00-10).В иных случаях необходимо сразу обращаться в суд.",https://www.cbr.ru/insurance/faq_insurance/
"Что делать, если страховая организация не соблюдает сроки рассмотрения заявления о выплате страхового возмещения?
","Если страховая организация не соблюдает сроки рассмотрения заявления о выплате страхового возмещения, рекомендуем Вам направить обращение с жалобой на действия страховой организации в Банк России. В обращении необходимо указать все имеющиеся по поставленному вопросу сведения (реквизиты договора страхования, сведения о страховом событии, информацию о подаче заявления о выплате страхового возмещения и др.). Также рекомендуем приложить копии документов, которые, по Вашему мнению, имеют значение для рассмотрения поставленных Вами вопросов. Также Вы можете направить претензию в адрес страховой организации. Обращаем Ваше внимание на изменение процедуры досудебного урегулирования споров между потребителями страховых услуг и страховыми организациями в связи с началом работы уполномоченного по правам потребителей финансовых услуг (финансовый уполномоченный) (Федеральный закон от 04.06.2018 № 123-ФЗ «Об уполномоченном по правам потребителей финансовых услуг»). С 01.06.2019 до подачи иска в суд споры, касающиеся ОСАГО, добровольного страхования гражданской ответственности владельцев транспортных средств (ДСАГО), добровольного страхования транспортных средств (КАСКО), должны рассматриваться финансовым уполномоченным. Для страховых организаций, осуществляющих остальные виды страхования (кроме осуществляющих ОМС), указанная обязанность предусмотрена с 28.11.2019. Для этого законодательно предусмотрен следующий порядок действий. Вам необходимо в обязательном порядке направить заявление страховщику в письменной или электронной форме, а страховщик обязан рассмотреть и направить мотивированный ответ об удовлетворении, частичном удовлетворении или отказе в удовлетворении предъявленного требования. Срок направления страховой организации мотивированного ответа составляет:",https://www.cbr.ru/insurance/faq_insurance/
"Что делать в случае отказа страховой организации в выплате страхового возмещения?
","Если ваш спор касается выплаты по ОСАГО (независимо от суммы) или размер вашего спора по любому другому виду страхования не превышает 500 тыс. рублей, направьте в страховую компанию досудебную претензию  с обоснованием своих требований. К ней приложите имеющиеся у вас документы по существу спора (например, копии договора страхования, вашего заявления в страховую компанию, ответа страховой компании и т.д.).Вы также вправе направить заявление (претензию) на электронный адрес финансовой организации. Срок ответа на вашу претензию — 15 рабочих дней, если она была направлена в электронном виде и с момента нарушения ваших прав прошло не более 180 дней, в остальных случаях — в течение 30 дней.Если вы не получили ответ в срок или вас не устраивает решение компании, вам нужно обратиться к финансовому уполномоченному. Он рассматривает споры, по которым нарушение прав заявителя произошло не более трех лет назад. Однако вам следует учесть сроки исковой давности по вашему спору (по некоторым видам страхования он составляет не три, а два года) и обратиться как можно быстрее. Подать обращение можно через форму на сайте финансового уполномоченного или в бумажном варианте по адресу: 119017, г. Москва, Старомонетный переулок, д. 3. Контактный центр 8 (800) 200-00-10. При несогласии с решением финансового уполномоченного обращайтесь в суд.Если у вас спор по добровольным видам страхования на сумму свыше 500 тыс. рублей, также рекомендуем обратиться к страховщику с досудебной претензией. В том случае, если результаты ее рассмотрения вас не удовлетворят или ответ не будет предоставлен, необходимо обращаться в суд.",https://www.cbr.ru/insurance/faq_insurance/
"Что делать в случае, если страховая организация отказывает в возмещении морального вреда, выплате штрафа, пени (неустойки) за ненадлежащее исполнение обязательств по договору добровольного страхования?
","Для взыскания со страховой организации пени (неустойки) за ненадлежащее исполнение обязательств по договору добровольного страхования вы можете направить ей досудебную претензию с обоснованием требований (и необходимыми документами), если их размер не превышает 500 000 рублей и если со дня, когда вы узнали (или должны были узнать) о нарушении своих прав, прошло не более трех лет. В случае если заявленные вопросы не будут решены или страховщик не направит ответ в установленные сроки (не позднее 30 дней со дня получения заявления либо 15 рабочих дней со дня получения заявления, если оно направлено в электронном виде по утвержденной Советом службы финансового уполномоченного форме и со дня нарушения прав прошло не более 180 дней), вы вправе направить обращение финансовому уполномоченному через форму на его сайте или в письменном виде по адресу: 119017, г. Москва, Старомонетный переулок, д. 3 (телефон для справок 8 (800) 200-00-10).Для взыскания со страховой организации возмещения за причинение морального вреда, штрафа за ненадлежащее исполнение обязательств по договору вам необходимо обратиться в суд.",https://www.cbr.ru/insurance/faq_insurance/
"Что делать в случае несогласия с суммой выплаты по договору добровольного страхования?
","В случае несогласия с суммой страховой выплаты по страховому случаю, рассчитанной с нарушением условий Правил страхования, в соответствии с которыми заключен договор страхования, Вы можете направить обращение в Банк России. В обращении необходимо указать все имеющиеся по поставленному вопросу сведения (реквизиты договора страхования, сведения о страховом событии, номер выплатного дела и др.). Также рекомендуем приложить копии документов, которые, по Вашему мнению, имеют значение для рассмотрения поставленных Вами вопросов. Также для разрешения возникшего  спора относительно несогласия с суммой страхового возмещения Вы вправе обратиться с заявлением о проведении экспертизы к оценщику, осуществляющему свою деятельность в соответствии с Федеральным законом от 29.07.1998 № 135-ФЗ «Об оценочной деятельности в Российской Федерации», и предъявить страховщику требование о пересмотре его решения, приложив результаты экспертного заключения.В случае отказа страховщика в удовлетворении данного требования указанный спор может быть решен исключительно в судебном порядке, предусмотренном ст. 35 Закона Российской Федерации от 27.11.1992 № 4015-1 «Об организации страхового дела в Российской Федерации» и ст. 11 Гражданского кодекса Российской Федерации. Обращаем Ваше внимание на изменение процедуры досудебного урегулирования споров между потребителями страховых услуг и страховыми организациями в связи с началом работы уполномоченного по правам потребителей финансовых услуг (финансовый уполномоченный) (Федеральный закон от 04.06.2018 № 123-ФЗ «Об уполномоченном по правам потребителей финансовых услуг»). С 01.06.2019 до подачи иска в суд споры, касающиеся ОСАГО, добровольного страхования гражданской ответственности владельцев транспортных средств (ДСАГО), добровольного страхования транспортных средств (КАСКО), должны рассматриваться финансовым уполномоченным.Для страховых организаций, осуществляющих остальные виды страхования (кроме осуществляющих ОМС), указанная обязанность предусмотрена с 28.11.2019. Для этого законодательно предусмотрен следующий порядок действий. Вам необходимо в обязательном порядке направить заявление страховщику в письменной или электронной форме, а страховщик обязан рассмотреть и направить мотивированный ответ об удовлетворении, частичном удовлетворении или отказе в удовлетворении предъявленного требования. Срок направления страховой организацией мотивированного ответа составляет:Предусмотренный порядок досудебного урегулирования споров финансовым уполномоченным не исключает права потребителя обратиться с жалобой на действия/бездействие страховой организации в Банк России.",https://www.cbr.ru/insurance/faq_insurance/
"Что делать, если страховщик затягивает выплату по добровольным видам страхования?
","Когда страховщик затягивает выплату страхового возмещения, вы вправе требовать от него уплаты неустойки (при наличии соответствующего условия в договоре) или процентов за пользование чужими деньгами. Для решения имущественного спора со страховщиком, если размер ваших требований к нему не превышает 500 тыс. рублей, вы можете обратиться к финансовому уполномоченному. Однако перед этим вам нужно направить претензию страховщику. Он обязан рассмотреть ее и предоставить вам ответ об удовлетворении, частичном удовлетворении или отказе в удовлетворении требования. Срок ответа на вашу претензию — 15 рабочих дней, если она была направлена в электронном виде и с момента нарушения ваших прав прошло не более 180 дней, в остальных случаях — в течение 30 дней.Если ответ страховой компании вас не устроил или вы не получили его в срок, то далее обращайтесь к финансовому уполномоченному. Он рассматривает споры, по которым нарушение прав заявителя произошло не более трех лет назад. Однако вам следует учесть сроки исковой давности по вашему спору (по некоторым видам страхования он составляет не три, а два года) и обратиться как можно быстрее. Подать обращение можно через форму на сайте финансового уполномоченного или в бумажном варианте по адресу: 119017, г. Москва, Старомонетный переулок, д. 3. Контактный центр 8 (800) 200-00-10. Если вы не согласны с решением финансового уполномоченного, то можете подать иск в суд.При страховом споре на сумму свыше 500 тыс. рублей также рекомендуем обратиться к страховщику с досудебной претензией. В том случае, если результаты ее рассмотрения вас не удовлетворят или ответ не будет предоставлен, нужно обращаться в суд.",https://www.cbr.ru/insurance/faq_insurance/
"Может ли страховая организация отказать в выдаче документов по выплатному делу по договору добровольного страхования?
","Законодательством за страховой организацией не закреплена обязанность в выдаче документов в рамках договоров добровольного страхования. Выдача документов по выплатному делу осуществляется в соответствии с условиями договора и правилами страхования, в соответствии с которыми заключен договор страхования.",https://www.cbr.ru/insurance/faq_insurance/
"Можно ли досрочно расторгнуть со страховой организацией договор добровольного страхования?
","Досрочно отказаться от договора добровольного страхования человек может в любой момент до завершения срока его действия (п. 2 ст. 958 ГК РФ). Нужно обратиться с таким заявлением к страховщику. Однако не во всех случаях при досрочном прекращении договора можно частично или полностью вернуть деньги за полис.Возможность возврата суммы и ее размер зависят от ряда условий:Узнать о порядке и условиях досрочного расторжения договора можно в правилах страхования (размещаются на сайте компании). Они у каждой страховой компании свои, но обязательно соответствуют требованиям, установленным для данного вида страхования. В договоре страхования по согласованию между страховщиком и клиентом могут быть предусмотрены условия досрочного прекращения, отличные от указанных в правилах страхования. В этом случае нужно руководствоваться положениями договора. До заключения договора страхования страховщик обязан ознакомить клиента-физическое лицо с условиями возврата страховой премии или ее части при досрочном прекращении договора, предоставив ключевой информационный документ.При досрочном расторжении договора уплаченные деньги по общему правилу не возвращаются, если у вас полис медицинского страхования иностранного гражданина и лица без гражданства, работающего в России; полис страхования, выезжающего за рубеж. Также по общему правилу не возвращается премия по полису страхования гражданской ответственности владельца ТС в международных системах страхования («Зеленая карта») и по договору страхования, наличие которого является обязательным условием допуска гражданина к выполнению профессиональной деятельности.Для остальных видов добровольного страхования действует «периода охлаждения» — время, в течение которого страхователь-физическое лицо можете отказаться от договора страхования и вернуть частично или в полном объеме деньги, уплаченные за полис.Важно помнить, что если к моменту отказа от договора начался период страхования и за это время произошло событие, имеющее признаки страхового случая, то тогда страховая премия не возвращается независимо от вида страхования. И, напротив, при досрочном прекращении договора из-за невозможности наступления страхового случая (например, при гибели застрахованного имущества по причинам иным, чем те, которые предусмотрены договором), страховщик должен вернуть часть страховой премии за оставшийся срок страхования (абзац первый п. 3 ст. 958 ГК РФ).",https://www.cbr.ru/insurance/faq_insurance/
"Что такое период охлаждения, на какие виды страхования он распространяется?
","«Период охлаждения» — это время, в течение которого человек может отказаться от договора добровольного страхования и получить от страховщика назад частично или в полном объеме уплаченные за полис деньги.По общему правилу такой период составляет не менее 14 календарных дней со дня заключения договора страхования, но страховщик по тому или иному виду добровольного страхования может предусмотреть более длительный срок. По некоторым договорам инвестиционного и накопительного страхования жизни (ИСЖ, НСЖ) предусмотрены специальные условия. Так, отказаться от договора ИСЖ и НСЖ с единовременным взносом на сумму менее 1,5 млн рублей человек может в течение 30 дней с момента уплаты страховой премии. По договорам с оплатой страховой премии в рассрочку право на отказ от договора у страхователя сохраняется до уплаты третьего взноса, если совокупная страховая премия первых трех взносов меньше 1,5 млн рублей, а в случае, когда совокупная страховая премия первых трех взносов больше указанной суммы — до момента, когда сумма внесенных взносов достигнет 1,5 млн рублей. Во всех остальных случаях по договорам ИСЖ и НСЖ действует общее правило.Размер возвращаемой суммы при отказе от договора в «период охлаждения» зависит от вида договора добровольного страхования и от того, начало ли к моменту обращения в страховую компанию действовать страхование. При отказе от договора до начала действия страхования страховщик обязан вернуть деньги за полис в полном размере. Если же на момент подачи заявления в страховую компанию страхование начало действовать, то страховщик вправе удержать часть уплаченной страховой премии пропорционально количеству дней, в течение которых действовало страхование. Иной порядок применяется к некоторым договорам ИСЖ и НСЖ — если их расторжение происходит в «период охлаждения», действующий на специальных условиях, уплаченная по ним сумма возвращается клиенту в полном размере.Важным условием для возврата страхователю премии (или ее части) при расторжении договора в «период охлаждения» является отсутствие в этот период страховых событий.«Период охлаждения» предусмотрен практически по всем популярным видам добровольного страхования, однако не распространяется на:Нужно отметить, что на обязательные виды страхования, например, ОСАГО, «период охлаждения» не распространяется.Обращаем внимание, что действие «периода охлаждения» распространяется только на договоры добровольного страхования, заключенные со страхователями-физическими лицами.Подробнее о «периоде охлаждения» читайте здесь.",https://www.cbr.ru/insurance/faq_insurance/
"При досрочном расторжении договора добровольного страхования будет ли мне возвращена страховая премия?
","При обращении в страховую компанию с отказом от договора добровольного страхования в течение «периода охлаждения» (14 календарных дней с момента заключения договора) уплаченная страховая премия подлежит возврату в полном объеме, если договор не начал свое действие. Если на момент обращения договор уже действует, страховщик вправе удержать часть уплаченной премии пропорционально сроку действия договора. Если на момент обращения договор действует, но произошел страховой случай, премия возврату не подлежит.По истечении «периода охлаждения» страхователь (выгодоприобретатель) вправе отказаться от договора страхования в любое время, если к моменту отказа возможность наступления страхового случая не отпала, в частности, по следующим причинам:При досрочном прекращении договора страхования по таким обстоятельствам страховщик имеет право на часть страховой премии пропорционально времени действия договора. В иных случаях при досрочном отказе страхователя (выгодоприобретателя) от договора страхования уплаченная страховщику премия не подлежит возврату, если закон или договор не предусматривают иного.",https://www.cbr.ru/insurance/faq_insurance/
"Какая сумма подлежит выплате по договору накопительного личного страхования, заключенному с Госстрахом до 01.01.1992?
","Начиная с 2001 года ПАО СК «Росгосстрах» выплачивает компенсации по договорам накопительного личного страхования (смешанное, детское, свадебное, пенсионное), заключенным до 1 января 1992 года, страховая или выкупная сумма по которым не была получена на 1 января 1992 года. Компенсацию могут получить страхователи или застрахованные лица, а также их наследники по закону. Получатели компенсации должны быть гражданами Российской Федерации (ст. 15 Закона от 08.12.2020 № 385-ФЗ).Размер компенсации зависит от:В случае смерти в 2001‒2021 годах страхователя/застрахованного лица, являвшегося на день смерти гражданином Российской Федерации, наследникам выплачивается компенсация на оплату ритуальных услуг.Обращаем внимание, что с 1 января 1998 года все цены на товары и услуги, доходы и сбережения граждан и другие требования и обязательства, имеющие денежную оценку, пересчитаны исходя из нового масштаба цен: 1000 рублей в деньгах старого образца на 1 рубль в новых деньгах (пункты 1 и 15 Постановления Правительства Российской Федерации от 18.09.1997 № 1182).Информация о порядке проведения выплат, перечень необходимых документов и бланки заявлений размещены во всех отделениях Росгосстраха, РГС Банка, а также на сайте Росгосстраха.Контакты ПАО СК «Росгосстрах»: 8 (800) 200-0-900 (звонок по России бесплатный), для звонков с мобильного телефона ‒ 0530 (бесплатно с номеров всех операторов).",https://www.cbr.ru/insurance/faq_insurance/
"Между мной и Госстрахом заключен договор накопительного личного страхования (страхования дожития до определенного события). Как я могу получить страховую выплату?
","Для получения компенсационной выплаты страхователю или застрахованному лицу необходимо подать заполненное типовое заявление о выплате компенсации по страховым свидетельствам, указав их реквизиты и приложив комплект необходимых документов. Заявление следует направить по почте заказным письмом с уведомлением о вручении в Расчетный центр компенсационных выплат ПАО СК «Росгосстрах» по адресу: 390046, г. Рязань, ул. Введенская, д. 110. Список прилагаемых документов:копия паспорта заявителя (2-я, 3-я и 5-я страницы);копия страхового свидетельства (при наличии);полные банковские реквизиты счета для перечисления компенсации.Информация о порядке проведения выплат, перечень необходимых документов и бланки заявлений размещены на сайте Росгосстраха.",https://www.cbr.ru/insurance/faq_insurance/
